Category;Order Date;Segment;Sales Target
Office Supplies;2017-01-04;Consumer;15 
Office Supplies;2017-01-05;Home Office;300 
Office Supplies;2017-01-06;Consumer;21 
Furniture;2017-01-07;Home Office;2316 
Technology;2017-01-07;Home Office;1068 
Office Supplies;2017-01-07;Home Office;699 
Office Supplies;2017-01-07;Consumer;17 
Office Supplies;2017-01-07;Corporate;14 
Furniture;2017-01-08;Consumer;81 
Office Supplies;2017-01-08;Consumer;11 
Technology;2017-01-10;Consumer;29 
Office Supplies;2017-01-10;Consumer;9 
Furniture;2017-01-11;Corporate;47 
Office Supplies;2017-01-11;Corporate;3 
Furniture;2017-01-12;Consumer;9 
Office Supplies;2017-01-14;Consumer;1387 
Furniture;2017-01-14;Consumer;792 
Technology;2017-01-14;Corporate;595 
Office Supplies;2017-01-14;Corporate;570 
Furniture;2017-01-15;Corporate;66 
Technology;2017-01-16;Consumer;144 
Technology;2017-01-17;Consumer;112 
Furniture;2017-01-17;Consumer;109 
Office Supplies;2017-01-17;Consumer;49 
Office Supplies;2017-01-19;Corporate;66 
Office Supplies;2017-01-20;Consumer;183 
Furniture;2017-01-20;Consumer;158 
Furniture;2017-01-21;Consumer;1244 
Technology;2017-01-21;Consumer;749 
Office Supplies;2017-01-21;Consumer;538 
Office Supplies;2017-01-21;Corporate;67 
Furniture;2017-01-22;Consumer;25 
Office Supplies;2017-01-24;Consumer;40 
Office Supplies;2017-01-27;Home Office;531 
Technology;2017-01-27;Home Office;343 
Furniture;2017-01-27;Corporate;124 
Furniture;2017-01-27;Home Office;65 
Office Supplies;2017-01-27;Corporate;10 
Furniture;2017-01-28;Consumer;360 
Office Supplies;2017-01-28;Consumer;86 
Office Supplies;2017-01-29;Consumer;3 
Office Supplies;2017-01-31;Consumer;262 
Furniture;2017-02-01;Consumer;308 
Technology;2017-02-02;Consumer;506 
Technology;2017-02-03;Consumer;176 
Office Supplies;2017-02-03;Consumer;19 
Office Supplies;2017-02-03;Home Office;11 
Office Supplies;2017-02-04;Consumer;106 
Office Supplies;2017-02-05;Home Office;122 
Office Supplies;2017-02-05;Corporate;15 
Technology;2017-02-07;Corporate;261 
Office Supplies;2017-02-07;Corporate;13 
Office Supplies;2017-02-07;Consumer;10 
Technology;2017-02-08;Corporate;108 
Office Supplies;2017-02-08;Corporate;71 
Furniture;2017-02-09;Home Office;13 
Furniture;2017-02-12;Consumer;1535 
Technology;2017-02-12;Consumer;241 
Office Supplies;2017-02-12;Consumer;143 
Furniture;2017-02-13;Consumer;113 
Office Supplies;2017-02-15;Corporate;353 
Technology;2017-02-15;Corporate;259 
Office Supplies;2017-02-15;Consumer;16 
Office Supplies;2017-02-16;Corporate;18 
Office Supplies;2017-02-17;Consumer;9 
Office Supplies;2017-02-18;Consumer;50 
Furniture;2017-02-19;Consumer;22 
Office Supplies;2017-02-19;Consumer;12 
Technology;2017-02-21;Corporate;69 
Furniture;2017-02-21;Corporate;19 
Office Supplies;2017-02-21;Home Office;12 
Office Supplies;2017-02-22;Consumer;9 
Office Supplies;2017-02-23;Consumer;19 
Office Supplies;2017-02-24;Home Office;13 
Office Supplies;2017-02-25;Consumer;60 
Office Supplies;2017-02-28;Consumer;21 
Furniture;2017-03-01;Consumer;1247 
Furniture;2017-03-01;Home Office;545 
Office Supplies;2017-03-01;Consumer;260 
Office Supplies;2017-03-01;Home Office;19 
Technology;2017-03-01;Home Office;5 
Technology;2017-03-02;Corporate;138 
Office Supplies;2017-03-02;Home Office;43 
Office Supplies;2017-03-02;Corporate;3 
Furniture;2017-03-03;Consumer;557 
Furniture;2017-03-03;Corporate;287 
Office Supplies;2017-03-03;Consumer;200 
Office Supplies;2017-03-03;Home Office;142 
Office Supplies;2017-03-03;Corporate;54 
Technology;2017-03-03;Home Office;9 
Office Supplies;2017-03-04;Consumer;315 
Technology;2017-03-05;Consumer;446 
Office Supplies;2017-03-05;Consumer;217 
Furniture;2017-03-07;Corporate;983 
Office Supplies;2017-03-07;Consumer;227 
Office Supplies;2017-03-07;Corporate;208 
Office Supplies;2017-03-07;Home Office;115 
Furniture;2017-03-07;Consumer;49 
Office Supplies;2017-03-10;Consumer;749 
Technology;2017-03-11;Corporate;646 
Office Supplies;2017-03-11;Corporate;178 
Office Supplies;2017-03-11;Consumer;124 
Furniture;2017-03-11;Consumer;8 
Furniture;2017-03-14;Home Office;1220 
Technology;2017-03-14;Home Office;523 
